Date,Time,Lat,Lon,Dep,M,Region,Magnitude
2020/04/01,23:50:21.52,3.5,128.7,89,3,Seram,Dibawah 5 M
2020/04/01,23:31:20.92,1.06,120.35,10,2.5,Sulawesi,Dibawah 5 M
2020/04/01,23:05:02.71,1.36,120.48,10,3,Sulawesi,Dibawah 5 M
2020/04/01,21:42:09.54,1.75,99.21,10,2.2,Northern Sumatra,Dibawah 5 M
2020/04/01,21:17:32.16,1.73,120.14,10,2.4,Sulawesi,Dibawah 5 M
2020/04/01,21:10:21.96,9.91,119.19,10,2.7,Sumba,Dibawah 5 M
2020/04/01,20:58:06.82,10.14,118.97,10,2.7,South of Sumbawa,Dibawah 5 M
2020/04/01,20:57:52.19,2,127.3,100,3.4,Halmahera,Dibawah 5 M
2020/04/01,20:47:13.73,9.7,119.22,10,3.3,Sumba,Dibawah 5 M
2020/04/01,19:22:59.38,5.79,125.33,65,4.2,Mindanao,Dibawah 5 M
2020/04/01,19:13:18.01,1.1,120.29,10,2.5,Sulawesi,Dibawah 5 M
2020/04/01,18:55:20.27,0.21,121.29,23,2.6,Minahassa,Dibawah 5 M
2020/04/01,17:09:20.40,1.35,97.07,16,3.3,Northern Sumatra,Dibawah 5 M
2020/04/01,16:57:42.91,7.45,128.83,10,4.3,Banda Sea,Dibawah 5 M
2020/04/01,15:57:00.47,8.1,129.25,339,4.6,Timor Sea,Dibawah 5 M
2020/04/01,15:13:45.56,3.24,139.46,18,4.4,Irian Jaya,Dibawah 5 M
2020/04/01,14:47:32.13,9.03,109.94,10,3.2,South of java,Dibawah 5 M
2020/04/01,14:42:12.98,9.14,109.9,10,3.4,South of java,Dibawah 5 M
2020/04/01,14:21:46.08,2.75,136.28,13,3.4,Irian Jaya,Dibawah 5 M
2020/04/01,14:07:15.82,2.16,120.71,10,3.2,Sulawesi,Dibawah 5 M
2020/04/01,13:32:10.46,1.12,100.92,35,2.7,Northern Sumatra,Dibawah 5 M
2020/04/01,13:03:43.85,3.35,125.82,12,4,Talaud Islands,Dibawah 5 M
2020/04/01,11:24:55.28,0.72,99.78,65,2.9,Northern Sumatra,Dibawah 5 M
2020/04/01,11:24:04.13,2.95,129.98,10,2.8,Seram,Dibawah 5 M
2020/04/01,11:22:40.74,8.53,108.37,10,3,Java,Dibawah 5 M
2020/04/01,09:38:16.29,8.26,119.58,148,3.1,Flores Region,Dibawah 5 M
2020/04/01,09:21:56.18,3.51,128.73,10,2.1,Seram,Dibawah 5 M
2020/04/01,08:53:56.64,1.88,122.71,10,3.3,Sulawesi,Dibawah 5 M
2020/04/01,07:28:20.20,4.11,97.43,10,2.6,Northern Sumatra,Dibawah 5 M
2020/04/01,07:22:42.49,6.12,130.49,154,4.4,Banda Sea,Dibawah 5 M
2020/04/01,05:45:30.79,5.41,130.72,18,4,Banda Sea,Dibawah 5 M
2020/04/01,05:13:10.80,5.08,94.93,27,2.7,Northern Sumatra,Dibawah 5 M
2020/04/01,04:52:24.67,8.44,119.83,159,3.1,Flores Region,Dibawah 5 M
2020/04/01,04:48:09.06,2.12,101.99,167,3.5,Northern Sumatra,Dibawah 5 M
2020/04/01,04:44:56.19,5.19,96.11,10,2.8,Northern Sumatra,Dibawah 5 M
2020/04/01,02:17:56.76,2.45,140.48,10,3.5,Near North,Dibawah 5 M
2020/04/01,02:12:01.60,1.97,140.64,10,3.6,Irian Jaya,Dibawah 5 M
2020/04/01,00:34:59.07,9.69,105.91,10,4.1,South of java,Dibawah 5 M
2019/03/19,14:35:22.88,2.51,128.65,24,5.1, Halmahera Indonesia,Di atas 5 M
2019/03/17,07:09:20.31,8.44,116.49,10,5.1,Sumbawa Region Indonesia,Di atas 5 M
2019/03/17,07:07:26.49,8.46,116.56,18,5.4,Sumbawa Region Indonesia,Di atas 5 M
2019/03/16,22:29:29.63,3.3,101.87,90,5.2,Southern Sumatra Indonesia,Di atas 5 M
2019/03/16,14:58:19.06,7.11,130.02,172,5,Tanimbar Islands Reg. Indonesia,Di atas 5 M
2019/03/16,07:30:42.57,0.98,126.88,49,5.4,Southern Molucca Sea,Di atas 5 M
2019/03/11,16:34:29.49,1.09,98.8,77,5.5,Northern Sumatra Indonesia,Di atas 5 M
2019/03/11,13:26:25.03,1.93,97.9,46,5.3,Northern Sumatra Indonesia,Di atas 5 M
2019/03/10,09:21:45.31,9.6,112.63,66,5,South of Java Indonesia,Di atas 5 M
2019/03/08,05:32:57.09,3.87,140.12,16,5.2,Irian Jaya Indonesia,Di atas 5 M
2019/03/06,13:57:20.12,3.78,127.06,50,5,Talaud Islands Indonesia,Di atas 5 M
2019/03/05,20:09:37.57,2.75,129.72,54,5.1,Seram Indonesia,Di atas 5 M
2019/03/01,01:00:43.66,4.9,125.45,186,5,Talaud Islands Indonesia,Di atas 5 M
2019/04/19,07:29:58.39,5.42,126.91,53,5.2, Mindanao Philippines,Di atas 5 M
2019/04/12,15:03:13.99,6.1,129.14,243,5.2,BandaSea,Di atas 5 M
2019/04/12,12:12:14.75,1.9,122.58,10,5.1, Sulawesi Indonesia,Di atas 5 M
2019/04/12,12:03:54.90,2.02,122.47,10,5.1, Sulawesi Indonesia,Di atas 5 M
2019/04/12,11:50:11.53,1.85,122.56,10,5.7, Sulawesi Indonesia,Di atas 5 M
2019/04/12,11:40:49.83,1.89,122.53,10,6.9, Sulawesi Indonesia,Di atas 5 M
2019/04/10,07:28:55.01,2.75,128.44,204,5, Halmahera Indonesia,Di atas 5 M
2019/04/08,16:16:34.31,1.37,127.03,130,5.2, Halmahera Indonesia,Di atas 5 M
2019/04/07,02:18:20.48,9.56,124.77,53,5.1,TimorRegion,Di atas 5 M
2019/04/06,21:55:01.79,6.94,125.01,547,6.3,BandaSea,Di atas 5 M
2019/04/04,06:36:04.15,4.22,127.35,21,5.1,Talaud Islands Indonesia,Di atas 5 M
2019/04/02,12:28:31.97,1.85,127.35,116,5.2, Halmahera Indonesia,Di atas 5 M
2019/04/01,14:25:58.88,5.94,131.49,76,5,BandaSea,Di atas 5 M
2018/09/28,21:24:02.19,1.56,120.17,10,5.2, Sulawesi Indonesia,Di atas 5 M
2018/09/28,15:28:14.30,0.66,119.97,14,5.1,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,14:26:01.94,0,119.56,16,5.4,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,13:35:30.82,0.02,119.67,12,5.6,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,11:06:52.12,1.51,120.02,14,5.2, Sulawesi Indonesia,Di atas 5 M
2018/09/28,10:50:26.96,0.77,119.96,18,5.7,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,10:47:45.78,0.44,119.9,12,5.1,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,10:39:05.37,0.67,119.92,14,5.5,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,10:25:05.23,0.98,119.99,14,5.7,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,10:16:51.33,0.8,120.01,10,5.8,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,10:14:21.02,0.04,119.83,14,5.8,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,10:02:43.67,0.22,119.85,10,7.5,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,08:25:00.02,0.34,119.84,17,5,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/28,07:00:01.24,0.35,119.83,16,6,Minahassa Peninsula Sulawesi,Di atas 5 M
2018/09/27,05:29:01.92,6.99,131.29,76,5.3,TanimbarIslands Reg. Indonesia,Di atas 5 M
